Frequency	|LSSnm(PORT_3,PORT_1,1_-2_0,1_0_0)|	Ang(LSSnm(PORT_3,PORT_1,1_-2_0,1_0_0)) (Deg)	
(GHz)	Receiver_Prototype_Digital	Receiver_Prototype_Digital	
67.2	0.19049	163.41
68.2	0.20732	179.46
69.2	0.18343	178.12
70.2	0.17978	140.27
71.2	0.22226	114.65
72.2	0.20932	48.875
73.2	0.23078	-4.7718
74.2	0.21402	-68.348
75.2	0.21342	-133.07
76.2	0.17366	159.16
77.2	0.19642	83.079
78.2	0.19718	16.538
79.2	0.19726	-55.815
80.2	0.16091	-132.38
81.2	0.1797	137.68
82.2	0.19248	64.749
83.2	0.17454	-16.977
84.2	0.18075	-92.51
85.2	0.17461	-156.86
86.2	0.15569	139
87.2	0.15774	74.658
88.2	0.14781	17.546
89.2	0.13308	-36.481
90.2	0.14499	-68.642
91.2	0.1418	-45.808
